1 3,1 3,1 3,,cardiovascular inflammation
12 24,12 24,12 24,kidney,
,,,,
,,,,
0 0.15,0 0.15,0 0.15,,heart
,,,,
,,,,
,,,,
13.8 17.2,12.1 15.1,11.5 15.5,anemia,polycythemia
0 15,0 15,0 15,,diabetes
0 51,0 51,0 51,,diabetes heart liver
2.4 4.1,2.4 4.1,2.4 4.1,nutrition,kidney liver
10 34,10 34,10 34,,liver
,,,,
3.7 5.2,3.7 5.2,3.7 5.2,,kidney RBC
,,,,
39 51,39 51,39 51,protein,liver,inflammation
23 85,23 85,23 85,pancreas kidney,pancreas
10 120,10 120,10 120,,heart muscle
11 15,11 15,11 15,,RBC
0.4 0.5,0.36 0.44,0.45 0.61,anemia,polycythemia
96 106,96 106,96 106,hypochloremia,hyperchloremia
,,,,
250 750,250 750,250 750,kidney,
0.5 2.2,0.5 2.2,0.5 2.2,,heart liver lung
,,,,
,,,,
150 400,150 400,150 400,,
,,,,
27 31,27 31,27 31,RBC,RBC
,,,,
32 36,32 36,32 36,RBC,RBC
0 30,0 30,0 30,,kidney
,,,,
80 95,80 95,80 95,RBC,RBC
10 40,10 40,10 40,,liver
,,,,
44 147,44 147,44 147,protein,bone liver
4.5 11,4.5 11,4.5 11,leukopenia,leukocytosis
